Rank,Title,Rating,Episodes,URL,Members_Votes,Type,Start Date,Finish Date,Premiered,R-Rating,Generes,Source,Studio
79,Natsume Yuujinchou Go,8.58, (11 eps),https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,"156,189 ",TV,Oct 2016 , Dec 2016,Premiered: Fall 2016,unkown,unkown,unkown,unkown
80,Natsume Yuujinchou San,8.58, (13 eps),https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,"222,324 ",TV,Jul 2011 , Sep 2011,Premiered: Summer 2011,unkown,unkown,unkown,unkown
81,Yojouhan Shinwa Taikei,8.58, (11 eps),https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,"370,125 ",TV,Apr 2010 , Jul 2010,Premiered: Spring 2010,unkown,unkown,unkown,unkown
82,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57, (1 eps),https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,"187,102 ",Movie,Apr 2009 , Apr 2009,,unkown,unkown,unkown,unkown
83,Fruits Basket 2nd Season,8.57, (25 eps),https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,"352,643 ",TV,Apr 2020 , Sep 2020,Premiered: Spring 2020,unkown,unkown,unkown,unkown
84,Kimetsu no Yaiba,8.57, (26 eps),https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,"2,183,973 ",TV,Apr 2019 , Sep 2019,Premiered: Spring 2019,unkown,unkown,unkown,unkown
85,Yakusoku no Neverland,8.56, (12 eps),https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,"1,566,183 ",TV,Jan 2019 , Mar 2019,Premiered: Winter 2019,unkown,unkown,unkown,unkown
86,Zoku Natsume Yuujinchou,8.56, (13 eps),https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,"219,916 ",TV,Jan 2009 , Mar 2009,Premiered: Winter 2009,unkown,unkown,unkown,unkown
87,Mushishi: Hihamukage,8.55,,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,"119,541 ",,Jan 2014 , Jan 2014,,unkown,unkown,unkown,unkown
88,Bakuman. 3rd Season,8.55, (25 eps),https://myanimelist.net/anime/12365/Bakuman_3rd_Season,"296,373 ",TV,Oct 2012 , Mar 2013,Premiered: Fall 2012,unkown,unkown,unkown,unkown
